K,Rem,frictionFactor
0.6,2756.8026510004584,4.914017272507264
0.6,2254.2339604156614,7.090448539921391
0.6,1880.435156763988,6.791191642875816
0.6,1729.1668978917594,7.035505815572871
0.6,1594.0156995528316,8.115385140258766
0.6,1457.493237310289,8.903002870493273
0.6,2753.9203185109604,4.766035904273112
0.6,2753.9203185109604,4.918600509827033
0.6,2250.350080057581,7.100355416853849
0.6,1875.628378876081,6.804211420319387
0.6,1723.3155902871547,7.0529814758533735
0.6,1587.100141226516,8.140488632989978
0.6,1449.704084193345,8.93568503904062
0.6,2750.978985790249,4.76891985144696
0.6,2750.978985790249,4.923288224665264
0.6,2246.391484450312,7.110488525058106
0.6,1870.73719055035,6.817530651354653
0.6,1717.3705388482692,7.070901798721478
0.6,1580.0706580034391,8.166292695988204
0.6,1441.7838541912013,8.950001956942124
1.2,2461.6061022817457,2.5339135475198957
1.2,2461.6061022817457,2.4424924032547057
1.2,2355.09352460664,2.464069900959851
1.2,2251.647282875231,2.605960645754771
1.2,2152.3364342708933,2.5450249831599616
1.2,2107.7336054721936,2.8429460629137826
1.2,2024.6166161633264,3.1750604983282544
1.2,2461.511900329603,2.5339678251898574
1.2,2461.511900329603,2.4425752434627537
1.2,2354.950826650369,2.464179865735569
1.2,2251.467771061564,2.606100204118873
1.2,2152.130522333024,2.545183996316548
1.2,2107.4983545548284,2.8431592190565764
1.2,2024.3454498658264,3.175332567532733
1.2,2461.35490413002,2.534058293140665
1.2,2461.35490413002,2.4427016946146707
1.2,2354.7330391846604,2.464351430385369
1.2,2251.18775779466,2.606328181595541
1.2,2151.7942368027484,2.545456636533042
1.2,2107.095121054049,2.843519627138469
1.2,2023.8871224144543,3.1757861198370496
1.2,2461.1429732461584,2.534180435121591
1.2,2461.1429732461584,2.44287613148194
1.2,2354.4326717797207,2.464589020882178
1.2,2250.800097736286,2.6066539329040794
1.2,2151.313909154784,2.545842976842273
1.2,2106.523989865941,2.8440273991599017
1.2,2023.241745736052,3.1764326557843425
1.2,2460.8604237269305,2.53434330941326
1.2,2460.8604237269305,2.4431072987094
1.2,2354.0347369271567,2.464901478112701
1.2,2250.2904859827395,2.607068220023849
1.2,2150.703343152501,2.546334025494375
1.2,2105.798513865394,2.844682692988425
1.2,2022.4094773794704,3.1772667355579203
1.2,2460.515124209024,2.5345424064260564
1.2,2460.515124209024,2.443386502360308
1.2,2353.554290739424,2.4652800535511274
1.2,2249.673345795009,2.607580442283888
1.2,2149.9489217651235,2.54694355294954
1.2,2104.8986919047297,2.8454806286539904
1.2,2021.3969680935177,3.178271617122156
1.2,2460.1149440493164,2.534773217110033
1.2,2460.1149440493164,2.443713775360763
1.2,2352.991377704334,2.465729212409886
1.2,2248.941581939309,2.608181395785796
1.2,2149.0644879239167,2.547653519786256
1.2,2103.8515641791314,2.846421446020975
1.2,2020.2044562629544,3.179470357604544
1.2,2459.644217211875,2.53504481291725
1.2,2459.644217211875,2.444097887481912
1.2,2352.3310441613594,2.4662490317949333
1.2,2248.095292913335,2.608880527326201
1.2,2148.0364789945424,2.5484777595594075
1.2,2102.637201786448,2.8475105192292776
1.2,2018.8257819712217,3.1808520184355333
1.2,2459.126509256875,2.535343635536284
1.2,2459.126509256875,2.4445301579805565
1.2,2351.588363850625,2.4668351927146155
1.2,2247.1417606453106,2.609663999758313
1.2,2146.885622504292,2.5494119351265683
1.2,2101.2625633783573,2.8487430925105315
1.2,2017.2677169924696,3.182417075516192
1.2,2458.5304794979884,2.535687821589632
1.2,2458.5304794979884,2.445015006768901
1.2,2350.755907014607,2.467492200246269
1.2,2246.0739402407903,2.610545968911452
1.2,2145.591557041131,2.5504562877507464
1.2,2099.727925857095,2.8501297384357045
1.2,2015.5177647990945,3.184171768852842
1.2,2457.879697484377,2.536063815763167
1.2,2457.879697484377,2.445548125547841
1.2,2349.8412534916606,2.4682157541853718
1.2,2244.8991369843006,2.611521962502644
1.2,2144.1613517755222,2.5516156539640296
1.2,2098.0269035080114,2.851655587763909
1.2,2013.5956426650996,3.186111016332138
1.2,2457.166363673708,2.536476178504582
1.2,2457.166363673708,2.4461339502152506
1.2,2348.836994733574,2.4690148034282324
1.2,2243.603182430323,2.612592190828832
1.2,2142.5952465677447,2.552881204271104
1.2,2096.173231295321,2.8533313094053563
1.2,2011.48894493584,3.188235489071048
1.2,2456.3826903919494,2.536929479051663
1.2,2456.3826903919494,2.4467725563688765
1.2,2347.7432319407617,2.469880655877017
1.2,2242.200569807645,2.613756884762497
1.2,2140.8935038278823,2.554262405133536
1.2,2094.1538984528247,2.8551574290925386
1.2,2009.1981822458984,3.1905630929105047
1.2,2455.552236725428,2.5374101545597703
1.2,2455.552236725428,2.447459648857427
1.2,2346.567561953386,2.470817874090052
1.2,2240.684325435728,2.615011611803358
1.2,2139.0632351943264,2.555755048720997
