genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [0], [2, 1], [0, 0, 2], [0, 2, 2, 2, 0], [0, 0, 0, 3, 0, 1], [1, 0, 0, 1, 1, 1, 0], [0, 0, 1]]",2584.671299467795,7,(Constant+x[0]+x[0]**Constant)+(Constant/Constant+(Constant-x[1]**Constant)),(0.5929287046745809+x[0]+x[0]**0.16321640825717654)+(0.916226589435729/0.6527816339333965+(0.47236802320811677-x[1]**0.9393716607250351)),2654.621158094122,{'errortest': 2582.2337931196485},"[1, 1, 2, 3, 5, 6, 7, 3]"
"[[0], [1], [3, 3], [], [], [2], [0, 1], [1]]",3260.345331688672,5,(x[1]*Constant),(x[1]*0.7485325075159088),3345.197238135405,{'errortest': 3256.5539932686347},"[1, 1, 2, 0, 0, 1, 2, 1]"
"[[0], [1], [0, 1], [3, 0, 0, 3], [1, 2, 2, 1], [1, 1, 1, 3, 3, 2, 0], [1, 1, 0, 0, 0, 1, 0, 1], [1, 1, 1, 0]]",4356.602815674925,7,(Constant-(Constant-x[1])-x[1]/(x[1]/(Constant*x[0])+Constant)),(0.09170120767819945-(0.10063660656823925-x[1])-x[1]/(x[1]/(0.08247728789006625*x[0])+0.017199055870100732)),4469.97380085289,{'errortest': 4351.563476400202},"[1, 1, 2, 4, 4, 7, 8, 4]"
"[[0], [3], [], [], [], [], [0], [1]]",4356.684440656112,4,x[1],x[1],4470.059381136794,{'errortest': 4351.644495511032},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4356.684440656112,4,x[1],x[1],4470.059381136794,{'errortest': 4351.644495511032},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4356.684440656112,4,x[1],x[1],4470.059381136794,{'errortest': 4351.644495511032},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4356.684440656112,4,x[1],x[1],4470.059381136794,{'errortest': 4351.644495511032},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4356.684440656112,4,x[1],x[1],4470.059381136794,{'errortest': 4351.644495511032},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4356.684440656112,4,x[1],x[1],4470.059381136794,{'errortest': 4351.644495511032},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4356.684440656112,4,x[1],x[1],4470.059381136794,{'errortest': 4351.644495511032},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4356.684440656112,4,x[1],x[1],4470.059381136794,{'errortest': 4351.644495511032},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4356.684440656112,4,x[1],x[1],4470.059381136794,{'errortest': 4351.644495511032},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4356.684440656112,4,x[1],x[1],4470.059381136794,{'errortest': 4351.644495511032},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [1], [0, 3], [2, 1], [1, 0, 2], [1, 1, 1, 1, 1], [0, 0, 1, 0, 0, 1], [1, 1, 1, 0]]",4356.80058422591,7,(((x[1]-x[1])**Constant)-(Constant-x[1]-x[0])-Constant),(((x[1]-x[1])**0.6585562682006842)-(0.3998696153223431-x[1]-x[0])-0.4896924230509393),4470.206189385431,{'errortest': 4351.753749190555},"[1, 1, 2, 2, 3, 5, 6, 4]"
"[[0], [1], [0, 2], [3, 0, 1], [2, 2, 0, 2], [0, 0, 2, 0, 3], [0, 1, 1, 0, 0, 0], [1, 0, 1, 1]]",4358.101922765289,7,(x[1]+Constant+Constant*((x[0]+x[1]/x[1])**Constant)),(x[1]+0.7697930689645608+0.7568868657794954*((x[0]+x[1]/x[1])**0.16590152505725597)),4471.506974448159,{'errortest': 4353.060742660483},"[1, 1, 2, 3, 4, 5, 6, 4]"
"[[0], [0], [2, 1], [2, 1, 0], [1, 1, 0, 1, 2], [0, 2, 1, 0, 0, 0, 3, 0], [0, 1, 0, 1, 0, 1, 1, 0, 1], [0, 0, 1, 0]]",4404.5989465956245,7,(((x[0]+Constant)**Constant)**Constant)*(((x[0]-Constant)+x[1]+Constant)+(Constant/x[0])+Constant),(((x[0]+0.004141875430656139)**0.49919394487325697)**0.7741757054497932)*(((x[0]-0.3976799608987983)+x[1]+0.3739950768537873)+(0.660325335582814/x[0])+0.602277068784014),4566.9201560492365,{'errortest': 4379.497372032701},"[1, 1, 2, 3, 5, 8, 9, 4]"
